confidence,edge_id,example_title,provenance,provider_version,relation,source_document,source_path,source_type,support_count,target_path,target_type,annotator_1_valid,annotator_2_valid,notes
0.55,ref:aws_vpn_connection.->aws_ec2_transit_gateway.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_vpn_connection,1,id,aws_ec2_transit_gateway,,,
0.55,ref:aws_iam_policy_attachment.->aws_iam_policy.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_iam_policy_attachment,1,id,aws_iam_policy,,,
0.55,ref:aws_macie2_classification_export_configuration.->aws_kms_key.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_macie2_classification_export_configuration,1,id,aws_kms_key,,,
0.55,ref:aws_iam_principal_policy_simulation.->aws_iam_user_policy.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_iam_principal_policy_simulation,1,id,aws_iam_user_policy,,,
0.55,ref:aws_db_proxy_target.->aws_db_instance.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_db_proxy_target,1,id,aws_db_instance,,,
0.55,ref:aws_rds_cluster.->aws_kms_key.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_rds_cluster,1,id,aws_kms_key,,,
0.55,ref:aws_shield_protection.->aws_eip.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_shield_protection,1,id,aws_eip,,,
0.55,ref:aws_storagegateway_stored_iscsi_volume.->aws_ebs_snapshot.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_storagegateway_stored_iscsi_volume,1,id,aws_ebs_snapshot,,,
0.55,ref:aws_ec2_transit_gateway_peering_attachment.->aws_ec2_transit_gateway.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_ec2_transit_gateway_peering_attachment,1,id,aws_ec2_transit_gateway,,,
0.55,ref:aws_kendra_thesaurus.role_arn->aws_iam_role.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,role_arn,aws_kendra_thesaurus,1,id,aws_iam_role,,,
0.55,ref:aws_vpc_endpoint.subnet_id->aws_subnet.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,subnet_id,aws_vpc_endpoint,1,id,aws_subnet,,,
0.55,ref:aws_rekognition_stream_processor.->aws_s3_bucket.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_rekognition_stream_processor,1,id,aws_s3_bucket,,,
0.55,ref:aws_route.gateway_id->aws_internet_gateway.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,gateway_id,aws_route,1,id,aws_internet_gateway,,,
0.55,ref:aws_dx_bgp_peer.->aws_dx_private_virtual_interface.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_dx_bgp_peer,1,id,aws_dx_private_virtual_interface,,,
0.55,ref:aws_guardduty_invite_accepter.->aws_guardduty_detector.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_guardduty_invite_accepter,1,id,aws_guardduty_detector,,,
0.55,ref:aws_bcmdataexports_export.->aws_s3_bucket.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_bcmdataexports_export,1,id,aws_s3_bucket,,,
0.55,ref:aws_spot_fleet_request.kms_key_id->aws_kms_key.id,,schema_reference_hint,5.90.0,REQUIRES_VALUE_OF_TYPE,,kms_key_id,aws_spot_fleet_request,1,id,aws_kms_key,,,
0.55,ref:aws_cloudwatch_log_delivery_destination_policy.->aws_cloudwatch_log_delivery_destination.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_cloudwatch_log_delivery_destination_policy,1,id,aws_cloudwatch_log_delivery_destination,,,
0.55,ref:aws_transfer_server.->aws_subnet.id,,documentation_example,5.90.0,REQUIRES_VALUE_OF_TYPE,,,aws_transfer_server,1,id,aws_subnet,,,
